[264099,648042] [221851,588888]
[393138,548972] [391693,604001]
[334998,500915] [393110,548087]
[310998,617103] [391019,604881]
[281836,827981] [291001,836015]
[418906,938976] [422075,946035]
[447109,726056] [421985,716846]
[446100,805004] [447985,726998]
[355965,767037] [421071,716930]
[309116,616978] [264885,648002]
[310010,617077] [309993,616958]
[478051,358018] [457993,287971]
[410995,359273] [478015,358224]
[626987,323056] [667082,299975]
[322096,333822] [292927,382038]
[370118,350028] [322939,333999]
[410009,359635] [370940,350959]
[97032,512256] [41883,467661]
[728939,893019] [756195,840977]
[639205,658042] [629791,623979]
[529088,778935] [446784,805027]
[291887,836012] [355012,767938]
[673019,664199] [639997,658765]
[655063,574915] [629829,623002]
[624834,537992] [655117,574048]
[648051,483961] [624704,537001]
[668004,484442] [648983,483524]
[547981,644221] [629016,623819]
[537977,538200] [624026,537394]
[519997,556038] [537017,538863]
[548041,483970] [537836,538005]
[762001,655986] [673988,664279]
[777028,573989] [762745,655033]
[771912,538980] [777080,573005]
[813030,514991] [771993,538117]
[827088,436995] [813851,514025]
[807969,421996] [827008,436151]
[753998,383917] [807023,421022]
[723231,741023] [673948,664984]
[662977,757150] [723012,741721]
[703135,811040] [662912,757997]
[756117,840048] [703990,811976]
[718995,895129] [728038,893954]
[704777,930044] [718067,895933]
[935000,451523] [827955,436902]
[944141,439986] [935982,451049]
[962007,464168] [935901,451786]
[961700,491001] [962059,464982]
[929944,541045] [961227,491995]
[900897,591021] [929080,541916]
[966105,376967] [944976,439003]
[977103,306990] [966992,376009]
[986000,290930] [977982,306042]
[931992,308168] [977014,306931]
[667957,299963] [753025,383074]
[602951,350117] [626091,323953]
[600848,249908] [626143,323000]
[478995,358119] [602027,350768]
[169893,724984] [209016,758060]
[890978,729065] [941003,724841]
[253014,868066] [190999,842757]
[902975,153037] [924045,72913]
[350049,150106] [288960,106911]
[995003,942002] [945920,909907]
[869967,912215] [945011,909802]
[270969,829344] [281022,827844]
[253940,868043] [270218,829991]
[209156,758981] [190843,842030]
[141990,711833] [169016,724050]
[161074,636987] [141684,711023]
[221135,588937] [161915,636056]
[31972,52830] [118091,82047]
[40993,942826] [84053,954007]
[118682,82983] [107860,191000]
[595008,41173] [506989,30990]
[596635,21954] [595861,41014]
[374990,20797] [506062,30053]
[350224,150986] [348948,199040]
[35859,894998] [40135,942008]
[37679,859990] [35617,894015]
[53975,999026] [84260,954947]
[21681,745964] [37033,859029]
[141015,711976] [21995,745052]
[902017,153137] [833931,115986]
[127152,467901] [97942,512011]
[334100,500036] [292979,382966]
[350942,150972] [413067,168221]
[900107,591973] [890915,729011]
[31068,52991] [6926,101010]
[446193,805990] [418825,938002]
[705954,145056] [833019,115959]
[600954,249017] [705205,145941]
[374000,20786] [316994,35045]
[413732,168999] [457030,287039]
[316138,35991] [288938,106005]
[869052,912002] [756929,840937]
[97968,512994] [161120,636028]
[7758,337954] [41130,467028]
[118979,82947] [288061,106167]
