[113097,887988] [110946,898025]
[71979,885986] [110029,898040]
[119940,152989] [129029,161066]
[27925,84002] [31193,52990]
[6998,101086] [27050,84968]
[264014,648983] [256986,652110]
[929990,541581] [951005,541444]
[127015,467974] [102993,480093]
[866954,949990] [881027,998065]
[409026,463968] [371999,466077]
[866009,949029] [832967,932988]
[409995,463076] [416055,452944]
[154989,510945] [156007,511044]
[23981,972941] [53017,999038]
[40046,942914] [23965,972037]
[17999,932898] [40028,942183]
[60005,926961] [40994,942113]
[654003,972977] [646997,982004]
[815008,888023] [801933,850980]
[537010,538945] [519974,556023]
[523120,587024] [519821,556994]
[723036,741976] [711970,760023]
[222009,286865] [212975,288110]
[667008,299906] [658985,302016]
[626972,323047] [658077,302907]
[161028,636055] [136999,630785]
[112691,695000] [115064,679970]
[15882,565035] [28124,543997]
[547021,644010] [527934,625982]
[176934,705112] [215021,683931]
[357025,324038] [353973,314985]
[333027,867974] [318978,870235]
[296952,855976] [318004,870022]
[487696,297005] [488235,282997]
[996003,152931] [958968,191011]
[990983,145986] [996033,152032]
[902998,153976] [958042,191050]
[901783,103971] [902138,153004]
[288007,106141] [286991,105969]
[84973,954092] [124019,941848]
[82989,954559] [84002,954540]
[405014,540949] [393933,548002]
[322009,333029] [290967,293946]
[907999,307911] [931009,308351]
[335988,759953] [355015,767016]
[303997,760265] [335000,759855]
[392002,759845] [355950,767052]
[401022,789012] [392910,759977]
[380911,815017] [401001,789996]
[257980,766005] [303013,760977]
[446030,805121] [401998,789879]
[459096,825028] [446962,805941]
[111997,704011] [114001,701945]
[164006,109009] [152930,87990]
[148953,124054] [164019,109898]
[145948,60982] [152046,87006]
[118994,82946] [152015,87031]
[119997,152043] [148002,124959]
[41002,467016] [18983,464938]
[58001,439986] [41968,467029]
[88037,426995] [58984,439150]
[139026,423996] [88997,426166]
[142107,462013] [139705,423989]
[229002,565988] [221941,588003]
[458973,618861] [472063,622011]
[202999,634071] [213008,627869]
[763002,668011] [762813,655981]
[818983,610049] [824074,601980]
[368009,692089] [340996,686849]
[372003,159032] [350975,150979]
[413039,168146] [372988,159850]
[348900,199017] [372031,159928]
[478993,358023] [482025,355966]
[441021,512967] [423987,520125]
[270988,829235] [281000,827840]
[330016,39138] [316971,35991]
[365022,7967] [330974,39021]
[374052,20041] [365977,7991]
[529004,778273] [484992,774900]
[536022,783008] [529971,778969]
[555015,815056] [536942,783962]
[706997,363968] [753002,383143]
[752437,443002] [753056,383996]
[807001,421977] [752986,443042]
[827018,436065] [807995,421826]
[850005,398978] [827969,436052]
[831958,369996] [850056,398000]
[835025,356981] [831941,369015]
[625987,627030] [629002,623941]
[935928,451039] [944029,439972]
[404995,705028] [424005,678978]
[434992,549065] [467011,541825]
[704976,930974] [722008,938014]
[595010,41802] [585988,41793]
[596049,21994] [595981,41004]
[608024,60021] [595977,41970]
[15218,565991] [2982,585018]
[200007,80037] [185999,53924]
[637015,534937] [624999,537295]
[773983,270064] [786026,263772]
[771030,538001] [754994,511838]
[681235,964009] [675920,938970]
[474992,22881] [506000,30162]
[585013,41007] [506997,30905]
[651964,740917] [662020,757025]
[617975,757007] [651007,740974]
[584968,734946] [617026,757044]
[591257,704987] [584968,734009]
[287948,847844] [296042,855042]
[291035,836983] [287966,847037]
[281919,827999] [291021,836023]
[508061,961911] [498974,970016]
[790028,924008] [787862,905988]
[604989,503966] [624129,537001]
[607043,483994] [604965,503028]
[577981,474994] [607001,483056]
[565948,487012] [577020,474879]
[557998,476974] [565003,487016]
[548945,483043] [557006,476985]
[535981,450937] [557031,476016]
[549033,437946] [535994,450020]
[648004,483322] [607999,483561]
[668000,484115] [648984,483828]
[655080,574030] [637902,534957]
[650895,598014] [655039,574995]
[678015,593918] [650968,598116]
[698006,589771] [678998,593222]
[629981,623062] [650025,598996]
[639025,658012] [625919,627980]
[673009,664012] [639997,658985]
[690068,650969] [673918,664019]
[676948,629962] [690102,650015]
[695014,624971] [676986,629020]
[687007,529003] [668998,484990]
[717060,696037] [690908,650933]
[723134,741001] [717887,696998]
[662997,757746] [711013,760103]
[741060,175975] [721953,189004]
[705997,145003] [736008,141807]
[741029,175019] [736997,141965]
[778012,200674] [750978,205087]
[893082,353997] [892687,389004]
[748075,67004] [725886,31989]
[43972,758929] [73063,788020]
[800871,87996] [802063,99021]
[97011,512960] [28996,543006]
[102055,480944] [97700,512010]
[132018,472049] [127873,467964]
[142053,462998] [132949,472020]
[145026,60078] [109993,28987]
[230992,841935] [253088,868062]
[823140,485959] [813884,514032]
[844036,609158] [824973,601991]
[777237,573999] [775719,608016]
[802984,99858] [833014,115020]
[404907,705950] [421005,716023]
[370987,350870] [410011,359024]
[357963,324935] [370018,350038]
[668427,484009] [670313,428991]
[72013,350078] [54989,345968]
[313002,355922] [292896,382014]
[209203,758979] [205789,783006]
[188993,763025] [209041,758948]
[169935,724921] [188037,763034]
[176004,705992] [169910,724018]
[708010,248127] [674997,220950]
[911194,635002] [900693,591995]
[576039,694084] [546986,678863]
[948993,72659] [974008,71912]
[602040,350115] [588989,342946]
[547942,644093] [561074,627999]
[975012,539915] [951997,541152]
[959863,493968] [975001,539020]
[961015,491883] [959996,493027]
[962275,464982] [961649,491010]
[935999,451909] [962023,464059]
[900971,591035] [929024,541997]
[943019,637274] [911990,635856]
[896977,667010] [911013,635951]
[903193,676002] [896942,667926]
[861917,688016] [896018,667971]
[890017,729017] [861941,688981]
[941004,724710] [890996,729255]
[956201,689998] [941994,724042]
[989067,702011] [956988,689812]
[853967,629946] [896000,667008]
[844840,609980] [853007,629013]
[964994,342006] [976056,329990]
[875090,433026] [850952,398996]
[892039,389840] [850989,398112]
[923013,359131] [893997,353929]
[964012,342946] [923998,359118]
[977505,306995] [976800,329005]
[986055,290979] [977888,306035]
[966058,376007] [964974,342991]
[993016,384045] [966932,376933]
[931994,308123] [977003,306525]
[823836,485007] [827159,436999]
[851003,484997] [823996,485151]
[771970,538058] [813069,514967]
[777022,573009] [771796,538997]
[818005,610558] [775995,608911]
[347999,88997] [375001,93107]
[515996,269930] [538100,292073]
[186007,313933] [170997,315404]
[98994,247831] [116012,249061]
[924017,72937] [913994,75092]
[313969,355018] [322092,333987]
[940165,851993] [937792,869007]
[866991,949006] [869495,912996]
[168967,18012] [224002,8990]
[185078,53010] [168955,18953]
[314957,503072] [334005,500718]
[75980,712181] [85002,710983]
[10983,757987] [11125,771007]
[940040,851008] [936990,838970]
[773156,270003] [769939,262997]
[64102,900978] [60904,926017]
[71019,885996] [64914,900018]
[193969,195979] [196247,222014]
[488954,282082] [515019,269947]
[504978,392032] [526046,357984]
[481994,144142] [492009,142685]
[361010,264998] [337945,271142]
[418902,938996] [422004,946025]
[145994,60163] [185028,53924]
[156016,511910] [153879,520008]
[619029,913004] [611986,877994]
[111015,704965] [85999,710039]
[762977,655029] [775163,608996]
[745994,649890] [762053,655066]
[717905,696055] [763012,668966]
[19000,125985] [9942,157004]
[6973,101981] [19010,125077]
[182979,285975] [186019,313005]
[212007,288065] [182979,285975]
[187104,360013] [186612,313998]
[196091,222993] [182997,285032]
[223081,142995] [193986,195046]
[200910,80993] [223000,142004]
[801976,850095] [826002,816896]
[954034,888996] [945995,909031]
[195982,485870] [245024,508045]
[425999,555067] [434024,549957]
[233965,454017] [255006,423866]
[93021,343972] [72990,350004]
[477914,414133] [504076,392955]
[460987,428072] [477006,414966]
[478944,358994] [504039,392051]
[416986,452100] [460007,428859]
[37015,859993] [3987,869042]
[64006,900113] [35990,894987]
[681016,964871] [654996,972093]
[685014,90077] [666979,87909]
[686594,80997] [685977,90013]
[705000,145021] [685982,90870]
[948009,72747] [924997,72857]
[272998,55083] [316037,35992]
[347052,88004] [330945,39991]
[901956,103016] [913181,75981]
[516055,726002] [491934,712999]
[545011,712902] [516994,726012]
[546025,678999] [545642,712004]
[447962,726886] [455039,734074]
[489004,240032] [461973,234899]
[882980,86969] [901030,103044]
[833947,115006] [882045,86963]
[748947,67970] [800017,87205]
[686960,80026] [725014,31991]
[750056,205013] [741947,175973]
[674940,220008] [721071,189933]
[737020,261040] [708985,248934]
[769014,262012] [737997,261821]
[806003,268143] [786998,263919]
[798962,303030] [806001,268991]
[608979,60968] [666014,87029]
[601952,77000] [608014,60986]
[835017,356015] [798969,303940]
[718990,895093] [728037,893771]
[580037,796971] [555988,815021]
[589015,798252] [580979,796787]
[570949,763998] [580028,796002]
[584058,734995] [570998,763048]
[140991,694066] [146075,690999]
[230001,841753] [190998,842324]
[49140,681001] [44912,659997]
[426005,606296] [391990,604883]
[619991,913014] [643004,909916]
[235180,833987] [230983,841046]
[270010,829866] [235974,833067]
[333991,867873] [362011,886034]
[117090,215996] [116089,249007]
[107984,191987] [117076,215028]
[129039,161978] [107998,191017]
[112972,695965] [114097,701027]
[411998,547987] [425019,555121]
[405867,540983] [411020,547122]
[423147,520992] [405986,540044]
[426166,606002] [425866,555994]
[140014,694778] [114984,701015]
[141066,711002] [140812,694995]
[169017,724114] [141938,711943]
[49985,681924] [75072,712056]
[257027,766038] [209997,758901]
[503001,829000] [459995,825854]
[484012,774942] [446991,805127]
[37015,859993] [35833,894014]
[67000,848951] [37939,859106]
[82030,954040] [60998,926959]
[73088,788979] [67897,848021]
[21998,745915] [43005,758093]
[10939,757010] [21033,745956]
[75059,712982] [43998,758060]
[38994,179999] [61015,181055]
[322974,333094] [357001,324817]
[132758,472985] [154043,510048]
[418020,938120] [402930,923993]
[221325,588993] [213973,627003]
[7993,337067] [30000,326965]
[54053,345020] [30925,326999]
[404032,705014] [368966,692902]
[264958,648934] [282002,653035]
[448789,200988] [461057,234032]
[515052,269014] [489842,240934]
[790954,924987] [832017,932025]
[815042,888914] [787987,905015]
[421978,716994] [447011,726033]
[591010,704119] [576950,694975]
[457975,287174] [488021,282939]
[413908,168972] [448131,200017]
[317973,213100] [348023,199975]
[482824,355014] [487048,297977]
[30000,326030] [8997,262999]
[123840,596960] [136007,630000]
[202001,634889] [161999,636217]
[547495,644997] [546946,678000]
[523935,587998] [527256,625002]
[505975,593043] [523014,587897]
[497972,589946] [505030,593006]
[472893,622029] [497019,589931]
[430991,620222] [458014,618975]
