[9004,58101] [2998,53905]
[84023,54987] [78958,58216]
[85097,53988] [84912,54100]
[42245,62999] [41973,67056]
[1993,89826] [7102,91083]
[2946,53056] [5015,45974]
[53978,68294] [55006,67947]
[93839,48945] [94223,50005]
[95007,42661] [90993,42833]
[72007,22850] [69969,24006]
[74031,20982] [72995,22103]
[76011,29009] [72943,22934]
[75939,33020] [76191,29962]
[81055,27759] [76976,29144]
[83251,22988] [81992,27033]
[71933,38023] [75012,33898]
[62029,64752] [55937,67009]
[63085,68042] [62777,64997]
[66013,76025] [63858,68931]
[68271,84013] [66858,76998]
[65995,87066] [68002,84888]
[61866,91001] [65033,87937]
[57979,87986] [61116,91007]
[11004,60045] [10983,59885]
[11952,60970] [13012,68020]
[40924,42040] [44002,39958]
[48986,83912] [51010,84304]
[88005,6027] [77987,6084]
[43933,24993] [47011,26026]
[29964,78970] [36002,83016]
[49210,37029] [47869,26976]
[44985,39095] [49005,37961]
[89929,2886] [91080,4005]
[88940,6076] [91019,4998]
[61982,91909] [67004,99071]
[10193,59117] [9983,58987]
[45964,9012] [46003,5990]
[96888,21841] [99074,25118]
[31883,8978] [33008,15008]
[19989,56453] [25009,55984]
[52122,43026] [49851,37970]
[56008,40988] [52978,43006]
[50914,50042] [52019,43959]
[59002,32966] [56921,40042]
[60049,26950] [59990,32004]
[58942,18979] [60152,26022]
[54915,10970] [58013,18078]
[45956,9874] [54011,10257]
[69015,24825] [60941,26039]
[81973,27892] [87001,29079]
[18014,95007] [15910,88990]
[8935,60043] [9054,58972]
[17061,57908] [11953,60007]
[19013,56836] [17994,57045]
[24056,72140] [13999,68898]
[29051,78018] [24933,72953]
[38115,92043] [36807,83992]
[35992,94049] [38005,92998]
[28985,93998] [35001,94176]
[18971,95027] [28022,93828]
[7956,91158] [15048,88932]
[998,91074] [1290,89974]
[48001,83986] [36997,83791]
[57043,87057] [51927,84959]
[12032,8917] [3927,11029]
[86025,90050] [82985,85981]
[16010,35077] [4990,30873]
[20091,40024] [16946,35981]
[23004,41240] [20989,40770]
[27031,36999] [23996,41006]
[22993,33947] [27020,36184]
[32019,32841] [27857,36069]
[30989,26990] [32115,32010]
[26923,23902] [30062,26053]
[21962,16982] [26141,23077]
[33184,15973] [26896,23002]
[80988,96032] [86001,90945]
[80008,96801] [79996,96835]
[98001,3667] [91999,4222]
[97883,12002] [98133,3990]
[96889,21010] [97161,12997]
[93968,48016] [95065,42991]
[92008,82966] [86973,90151]
[67999,99039] [79011,96862]
[85940,53031] [93134,48947]
[73978,64014] [78063,58983]
[63982,68042] [73065,64929]
[70001,50116] [64984,48778]
[37953,59148] [39054,58931]
[12968,8065] [14012,3912]
[56919,40946] [64046,48053]
[70964,50887] [78045,58073]
[39784,58965] [42135,62040]
[96005,21979] [87984,29015]
[41985,67924] [53006,68113]
[32882,32977] [40005,42032]
[34101,994] [31954,8015]
[12981,8939] [21047,16044]
[6969,1839] [14016,3092]
