[272982,55049] [316007,35941]
[869293,912996] [866996,949016]
[434090,549996] [425986,555062]
[393996,548907] [425012,555092]
[441004,512968] [434981,549013]
[391484,604016] [393251,548988]
[458079,618103] [391985,604981]
[472037,622104] [458934,618891]
[505076,593905] [472997,622072]
[523013,587916] [505983,593059]
[519975,556951] [523216,587025]
[535944,450033] [549054,437995]
[557037,476009] [535979,450988]
[548973,483228] [557093,476982]
[537922,538003] [548113,483975]
[519955,556022] [537033,538990]
[145114,60961] [118923,82062]
[64001,900041] [35961,894907]
[941998,724014] [989025,702962]
[235973,833924] [253025,868007]
[23917,972006] [40146,942964]
[580963,796808] [589017,798019]
[488002,282792] [457989,287016]
[487878,297019] [488289,282985]
[538013,292083] [488998,282878]
[478892,358043] [487026,297948]
[477350,414005] [478723,358998]
[410992,359042] [478001,358907]
[370993,350926] [410000,359007]
[322941,333983] [370096,350000]
[313962,355059] [322039,333976]
[292913,382045] [313037,355995]
[297003,416002] [292800,382984]
[255975,423037] [297037,416973]
[535075,450015] [477996,414804]
[833031,115116] [802939,99999]
[762045,655031] [745961,649973]
[866097,949027] [832967,932905]
[93024,343252] [7978,337779]
[711090,760947] [703848,811006]
[169834,724992] [209069,758027]
[896194,667973] [861987,688055]
[61016,181092] [38987,179823]
[350983,150870] [372018,159109]
[807004,421038] [753984,383727]
[668815,484985] [687001,529018]
[875845,433075] [892042,389906]
[807919,421989] [827059,436013]
[538945,292085] [600079,249964]
[602905,350008] [626078,323921]
[88017,426978] [41885,467002]
[88665,426011] [93403,343964]
[718986,895046] [728009,893625]
[704665,930001] [718008,895944]
[447986,726988] [455001,734153]
[168989,18954] [185058,53063]
[114006,701761] [75994,712045]
[140002,694927] [114995,701273]
[624980,537948] [655069,574039]
[929136,541986] [900913,591087]
[37056,859990] [35942,894004]
[3982,869018] [37016,859858]
[40999,942048] [64032,900849]
[976154,329983] [966966,376002]
[107957,191051] [129071,161930]
[418034,938022] [362976,886986]
[723034,741992] [711938,760092]
[662996,757418] [711000,760026]
[617980,757067] [662017,757516]
[589988,798051] [617067,757728]
[728830,893015] [756068,840992]
[900027,591929] [844983,609053]
[186471,313986] [187111,360006]
[866902,949953] [881019,998003]
[977015,306982] [931999,308190]
[648979,483975] [668007,484174]
[655976,574031] [687143,529949]
[815040,888937] [787984,905051]
[61940,181989] [107012,191034]
[421999,716937] [447065,726075]
[368993,692987] [421005,716027]
[328775,646991] [368060,692068]
[310998,617949] [328066,646089]
[309955,616955] [310071,617020]
[264921,648042] [309010,616935]
[213998,627959] [264084,648040]
[202980,634011] [213005,627961]
[221112,588941] [213886,627078]
[161967,636148] [202001,634780]
[321244,558998] [309995,616013]
[285985,550958] [321026,558171]
[413830,168997] [448113,200041]
[19113,125063] [6859,101998]
[401972,789965] [446021,805054]
[355979,767902] [401044,789115]
[455288,734982] [446889,805000]
[53161,999015] [23979,972947]
[84065,954085] [40987,942795]
[192012,985254] [84998,954915]
[279034,996052] [192986,985953]
[21872,745982] [37041,859026]
[75003,712994] [21965,745023]
[270956,829097] [281009,827883]
[6981,101112] [31011,52976]
[902934,153975] [958024,191051]
[763230,668011] [762651,655993]
[695955,624907] [745007,649089]
[673911,664083] [695117,624980]
[639962,658850] [673016,664263]
[629790,623958] [639013,658007]
[655076,574980] [629905,623012]
[75045,712000] [44991,659959]
[596248,21981] [595670,41052]
[173936,466895] [195050,485026]
[646044,982011] [543930,924990]
[815948,888987] [832050,932000]
[139023,423577] [88974,426089]
[127825,467002] [139069,423999]
[102974,480069] [127014,467921]
[97756,512028] [102235,480959]
[173003,466615] [127990,467071]
[156968,511149] [195094,485931]
[154971,510907] [156046,511123]
[187005,360974] [139951,423020]
[182850,285977] [186042,313018]
[222000,286716] [182983,285524]
[196262,222991] [182965,285009]
[193962,195998] [196325,222008]
[129985,161846] [193003,195034]
[961496,491002] [962199,464998]
[773986,270024] [786093,263865]
[977260,306994] [976688,329003]
[945990,909886] [995013,942103]
[890008,729062] [861979,688992]
[941032,724823] [890982,729007]
[580019,796122] [529966,778920]
[44020,659025] [2864,585913]
[527060,625006] [523630,587976]
[547015,644012] [527865,625946]
[321993,558180] [393020,548675]
[506963,30609] [595028,41055]
[474978,22990] [506004,30268]
[374988,20319] [474001,22421]
[316996,35211] [374045,20947]
[334009,500563] [314987,503060]
[875021,433613] [827978,436088]
[492013,142643] [481922,144008]
[900057,591994] [896883,667024]
[961196,491999] [929975,541002]
[935965,451980] [962001,464030]
[944056,439998] [935985,451014]
[875982,433941] [935033,451057]
[518181,177034] [492927,142867]
[270011,829911] [235978,833294]
[291085,836042] [281933,827881]
[190993,842135] [235005,833945]
[19084,125909] [9990,157002]
[209982,758981] [235052,833002]
[314006,503990] [285967,550037]
[140802,694014] [161000,636929]
[286952,105950] [288004,106167]
[986067,290965] [977973,306049]
[944802,439011] [966010,376955]
[413025,168050] [372979,159770]
[448995,200044] [481071,144978]
[802038,99000] [725984,31879]
[777065,573976] [745950,649066]
[771860,538974] [777001,573017]
[813009,514880] [771984,538047]
[844014,609082] [777993,573778]
[902813,153012] [924001,72914]
[833979,115990] [902075,153088]
[286160,105013] [272934,55992]
[224991,8857] [272057,55028]
[168960,18084] [224014,8952]
[145996,60236] [185007,53767]
[350045,150005] [288908,106860]
[141989,711990] [169001,724129]
[140985,694998] [141272,711000]
[721030,189020] [705934,145985]
[728956,893982] [787003,905159]
[703972,811965] [756004,840050]
[773852,270994] [798082,303046]
[422052,946020] [418893,938965]
[291984,836785] [362045,886073]
[372032,159947] [348920,199021]
[667021,299964] [626973,323109]
[600955,249953] [626004,323030]
[773030,270000] [721943,189955]
[629017,623800] [547971,644139]
[912005,808049] [890901,729969]
[723934,741071] [763112,668978]
[945013,909911] [869989,912749]
[646939,982066] [704011,930985]
[195985,485095] [255000,423951]
[9913,157964] [38010,179017]
[118567,82979] [129199,161003]
[798021,303931] [753927,383022]
[958800,191999] [986117,290020]
